Library,month,visits
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-04,1768
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-05,1820
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-06,1820
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-07,1820
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-08,1777
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-09,1777
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-10,1777
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-11,2695
http://datadock.io/kal/data/id/resource/library/Blakelaw,2008-12,2695
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-01,2695
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-02,2067
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-03,2067
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-04,2067
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-05,1837
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-06,1837
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-07,1837
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-08,2496
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-09,2496
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-10,2496
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-11,1755
http://datadock.io/kal/data/id/resource/library/Blakelaw,2009-12,1755
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-01,1755
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-02,1534
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-03,1534
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-04,1534
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-05,1437
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-06,1437
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-07,1437
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-08,1993
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-09,1993
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-10,1993
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-11,1547
http://datadock.io/kal/data/id/resource/library/Blakelaw,2010-12,1547
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-01,1547
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-02,3740
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-03,2731
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-04,2023
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-05,1905
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-06,1570
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-07,2061
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-08,2016
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-09,2076
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-10,1895
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-11,1849
http://datadock.io/kal/data/id/resource/library/Blakelaw,2011-12,1127
http://datadock.io/kal/data/id/resource/library/Blakelaw,2012-01,1715
http://datadock.io/kal/data/id/resource/library/Blakelaw,2012-02,1913
http://datadock.io/kal/data/id/resource/library/Blakelaw,2012-03,2444
http://datadock.io/kal/data/id/resource/library/Blakelaw,2012-04,1680
http://datadock.io/kal/data/id/resource/library/Blakelaw,2012-05,1410
http://datadock.io/kal/data/id/resource/library/Blakelaw,2012-06,1591
http://datadock.io/kal/data/id/resource/library/Blakelaw,2012-07,1925
http://datadock.io/kal/data/id/resource/library/Blakelaw,2012-08,1879
http://datadock.io/kal/data/id/resource/library/Blakelaw,2012-09,1105
http://datadock.io/kal/data/id/resource/library/Blakelaw,2012-10,1669
http://datadock.io/kal/data/id/resource/library/Blakelaw,2012-11,1571
http://datadock.io/kal/data/id/resource/library/Blakelaw,2012-12,795
http://datadock.io/kal/data/id/resource/library/Blakelaw,2013-01,1168
http://datadock.io/kal/data/id/resource/library/Blakelaw,2013-02,1817
http://datadock.io/kal/data/id/resource/library/Blakelaw,2013-03,1534
http://datadock.io/kal/data/id/resource/library/Blakelaw,2013-04,1750
http://datadock.io/kal/data/id/resource/library/Blakelaw,2013-05,1506
http://datadock.io/kal/data/id/resource/library/Blakelaw,2013-06,1550
http://datadock.io/kal/data/id/resource/library/Blakelaw,2013-07,1789
http://datadock.io/kal/data/id/resource/library/Blakelaw,2013-08,1991
http://datadock.io/kal/data/id/resource/library/Blakelaw,2013-09,2546
http://datadock.io/kal/data/id/resource/library/Blakelaw,2013-10,2664
http://datadock.io/kal/data/id/resource/library/Blakelaw,2013-11,2589
http://datadock.io/kal/data/id/resource/library/Blakelaw,2013-12,1563
http://datadock.io/kal/data/id/resource/library/Blakelaw,2014-01,1906
http://datadock.io/kal/data/id/resource/library/Blakelaw,2014-02,1946
http://datadock.io/kal/data/id/resource/library/Blakelaw,2014-03,2481
http://datadock.io/kal/data/id/resource/library/Blakelaw,2014-04,1499
http://datadock.io/kal/data/id/resource/library/Blakelaw,2014-05,1796
